PlayerID,Name,Team,Pos,1.39 Att,1.39 Make,40.49 Att,40.49 Make,XP Att,XP Make
1,Stephen Gostkowski,NE,K,18.2,17.7,9.9,8.1,51.5,50.4
2,Justin Tucker,Bal,K,20,19.8,10.9,9.4,32.4,32.1
3,Matt Bryant,Atl,K,17,16.5,9.3,7.6,47.3,46.3
4,Graham Gano,Car,K,18.7,17.8,10.2,8.1,41.5,39.6
5,Adam Vinatieri,Ind,K,16.8,16.7,9.2,7.8,41.8,41.4
6,Mason Crosby,GB,K,17.4,16.3,9.5,7.4,46.8,44
7,Matt Prater,Det,K,17.5,17,9.5,7.8,37.8,37.1
8,Dan Bailey,Dal,K,16.4,15.9,9,7.3,43.4,42.3
9,Blair Walsh,Sea,K,18.8,17.2,10.3,7.8,40.1,37
10,Chris Boswell,Pit,K,17.3,16.6,9.4,7.6,37.7,36.4
11,Younghoe Koo,LAC,K,17.8,16.7,9.7,7.6,39.7,37.4
12,Sebastian Janikowski,Oak,K,17.7,16.4,9.7,7.5,39.4,36.8
13,Dustin Hopkins,Wsh,K,18.5,16.7,10.1,7.6,39,35.5
14,Wil Lutz,NO,K,15.3,14.3,8.4,6.5,50.2,47
15,Caleb Sturgis,Phi,K,18.6,16.9,10.1,7.7,36.7,33.6
16,Phil Dawson,Ari,K,16,15.3,8.7,7,40.8,39.2
17,Cairo Santos,KC,K,17.7,16.5,9.6,7.5,35.2,33.2
18,Kai Forbath,Min,K,18,16.7,9.8,7.6,34.8,32.6
19,Ka'imi Fairbairn,Hou,K,17.8,16.7,9.7,7.6,33,31.1
20,Nick Folk,TB,K,17.6,16.1,9.6,7.3,37.6,34.6
21,Jason Myers,Jax,K,16.7,15.9,9.1,7.3,32.7,31.3
22,Randy Bullock,Cin,K,16.9,15.3,9.2,6.9,39.3,35.7
23,Ryan Succop,Ten,K,15.1,14.2,8.2,6.5,41.6,39.3
24,Brandon McManus,Den,K,16.5,15.5,9,7.1,32.9,31
25,Stephen Hauschka,Buf,K,15.6,14.7,8.5,6.7,35.7,33.9
26,Aldrick Rosas,NYG,K,15.2,14.3,8.3,6.5,36.4,34.3
27,Connor Barth,Chi,K,15.8,14.7,8.6,6.7,33.2,31
28,Robbie Gould,SF,K,15.7,14.9,8.6,6.8,29.2,27.8
29,Greg Zuerlein,LAR,K,16.3,14.8,8.9,6.7,30.4,27.8
30,Zane Gonzalez,Cle,K,15.4,14.5,8.4,6.6,29.3,27.6
31,Cody Parkey,Mia,K,13.1,11.9,7.1,5.4,39.5,36.1
32,Chandler Catanzaro,NYJ,K,15.2,14,8.3,6.4,25.1,23.2
33,Shayne Graham,Atl,K,0,0,0,0,0,0
34,Billy Cundiff,Cle,K,0,0,0,0,0,0
35,Josh Brown,NYG,K,0,0,0,0,0,0
36,Josh Scobee,NO,K,0,0,0,0,0,0
37,Mike Nugent,NYG,K,0,0,0,0,0,0
38,Nick Novak,Hou,K,0,0,0,0,0,0
39,Shaun Suisham,Pit,K,0,0,0,0,0,0
40,Garrett Hartley,Pit,K,0,0,0,0,0,0