Player,Team,Pass Att,Pass Cmp,Pass Yds,Pass TDs,Ints Thrown,Rush Att,Rush Yds,Rush TDs,Fum Lost,FPoints
Blaine Gabbert,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Matt Moore,KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mason Rudolph,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Baker Mayfield,CLE,558.2,344.0,"4,075.7",27.0,15.3,31.4,130.8,1.5,,258.3
Kyler Murray,ARI,552.4,359.2,"4,184.8",24.6,11.1,80.4,390.1,3.1,,298.5
Brett Hundley,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Jared Goff,LAR,594.9,377.5,"4,255.4",28.0,14.5,33.5,133.0,1.3,,267.5
Gardner Minshew II,JAC,568.3,353.0,"3,976.8",21.0,11.7,58.8,248.5,1.9,,248.1
Teddy Bridgewater,CAR,571.5,367.0,"4,010.7",23.3,13.0,41.3,167.5,1.2,,249.9
Nick Foles,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Deshaun Watson,HOU,549.9,361.3,"4,115.3",28.2,12.8,95.8,430.7,4.3,,315.3
Jalen Hurts,PHI,,,,,,,,,,
AJ McCarron,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Ryan Finley,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Tyler Bray,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeff Driskel,DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
C.J. Beathard,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cam Newton,NE,543.5,336.9,"3,734.2",25.8,14.6,81.1,370.6,4.7,,281.0
Tua Tagovailoa,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Devlin Hodges,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lamar Jackson,BAL,501.1,325.9,"3,561.5",28.7,10.5,170.2,857.7,7.4,,359.2
Nate Sudfeld,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom Brady,TB,604.3,379.2,"4,303.2",30.1,8.4,24.9,62.3,1.2,,286.0
Dak Prescott,DAL,570.3,369.5,"4,500.6",30.1,10.4,57.2,254.4,3.7,,322.7
Kirk Cousins,MIN,527.4,350.6,"4,066.2",26.6,9.2,32.3,125.6,1.3,,265.1
Mitchell Trubisky,CHI,559.0,354.9,"3,651.1",24.6,12.6,69.0,300.4,3.1,,262.4
Jarrett Stidham,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Sean Mannion,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Marcus Mariota,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Flacco,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Matthew Stafford,DET,579.7,382.0,"4,483.1",25.3,9.7,19.7,85.3,0.7,,270.0
Chad Henne,KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Brian Hoyer,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Griffin,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Allen,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Jimmy Garoppolo,SF,517.2,346.8,"3,934.9",28.5,12.1,35.6,132.8,1.5,,262.1
Aaron Rodgers,GB,564.9,358.6,"4,161.5",28.1,11.9,38.5,181.3,1.3,,278.8
Logan Woodside,TEN,,,,,,,,,,
Will Grier,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Griffin III,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Matt Barkley,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Sam Darnold,NYJ,544.1,344.6,"3,816.9",24.0,11.7,42.9,187.0,1.7,,248.3
Colt McCoy,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Chad Kelly,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Tannehill,TEN,493.5,328.6,"3,947.1",24.5,12.6,63.1,274.3,2.6,,266.2
Nick Mullens,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Trace McSorley,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drew Lock,DEN,534.8,343.3,"3,863.7",21.7,10.8,31.0,128.8,1.1,,235.7
Chase Daniel,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Carson Wentz,PHI,573.0,367.0,"3,937.0",29.5,10.3,50.5,208.0,1.9,,278.8
Matt Schaub,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Matt Ryan,ATL,614.8,403.8,"4,714.9",27.2,11.2,34.4,127.2,0.9,,287.6
Joe Burrow,CIN,574.1,359.2,"4,072.3",21.8,13.9,37.7,156.4,1.4,,242.0
Derek Carr,LV,557.1,371.6,"4,117.7",24.5,10.4,28.0,109.5,1.3,,255.7
Philip Rivers,IND,532.9,346.2,"4,077.9",26.2,14.6,7.1,22.6,0.2,,239.5
Jacoby Brissett,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Drew Brees,NO,581.9,410.0,"4,371.6",31.3,11.3,21.2,58.3,0.6,,285.4
Ryan Fitzpatrick,MIA,583.8,364.9,"4,097.6",23.3,18.5,38.6,169.1,1.4,,240.0
Tim Boyle,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Josh Allen,BUF,518.5,311.3,"3,476.8",21.1,12.3,135.3,610.8,7.5,,293.3
Justin Herbert,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Tyrod Taylor,LAC,513.0,313.9,"3,320.0",20.2,10.5,78.4,365.2,4.4,,252.0
Ben Roethlisberger,PIT,580.7,381.5,"4,389.7",29.6,13.7,13.3,46.7,0.6,,272.2
Patrick Mahomes II,KC,593.6,387.0,"4,694.4",38.0,11.7,46.9,197.2,2.1,,344.9
Jameis Winston,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Daniel Jones,NYG,580.7,364.1,"4,014.4",24.0,13.4,61.4,267.0,2.3,,259.3
Russell Wilson,SEA,526.3,344.3,"4,016.3",31.3,8.7,70.4,370.3,2.0,,313.8
Dwayne Haskins,WAS,502.1,313.1,"3,622.7",19.8,11.8,21.1,88.7,0.7,,207.4
Andy Dalton,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Case Keenum,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
