Rank,Player,Team,Opp,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,"McCaffrey, Christian",CAR,@GBP,RB,18.4,78.0,0.8,0.7,0.0,0.0,0.0,0.0,0.1,8.3,0.9,6.7,52.0,0.2,0.7,0.1,0.0,0.0,0.0,2.6,26.1
2,"Henry, Derrick",TEN,DET,RB,26.2,132.0,1.2,0.8,0.3,0.1,0.0,0.0,0.1,2.2,0.1,1.4,11.0,0.1,0.0,0.0,0.0,0.0,0.1,2.5,23.4
3,"Cook, Dalvin",MIN,CHI,RB,19.5,94.0,1.0,0.8,0.0,0.1,0.0,0.0,0.1,3.9,0.1,3.3,29.0,0.0,0.1,0.1,0.0,0.0,0.2,2.1,21.3
4,"Kamara, Alvin",NOS,KCC,RB,11.9,53.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,7.4,0.9,5.9,49.0,0.2,0.2,0.1,1.0,6.0,0.0,1.8,21.1
5,"Mostert, Raheem",SFO,@DAL,RB,14.2,67.0,1.0,0.6,0.2,0.0,0.0,0.1,0.1,3.1,0.4,2.6,23.0,0.1,0.1,0.1,0.0,4.0,0.1,1.7,17.9
6,"Jones, Aaron",GBP,CAR,RB,14.1,64.0,0.7,0.5,0.1,0.0,0.0,0.0,0.1,4.3,0.5,3.3,27.0,0.2,0.1,0.1,0.0,0.0,0.1,1.7,17.5
7,"Robinson, James",JAC,@BAL,RB,17.8,80.0,0.4,0.3,0.1,0.0,0.0,0.0,0.0,4.6,0.3,3.4,25.0,0.2,0.1,0.1,0.0,0.0,0.1,1.3,17.4
8,"Elliott, Ezekiel",DAL,SFO,RB,18.0,75.0,0.5,0.4,0.1,0.0,0.0,0.0,0.0,5.0,0.6,3.5,24.0,0.2,0.1,0.1,0.0,0.0,0.3,1.8,16.9
9,"Gibson, Antonio",WAS,SEA,RB,13.0,60.0,1.0,0.7,0.1,0.1,0.1,0.0,0.0,3.5,0.3,2.8,22.0,0.0,0.1,0.0,0.0,0.0,0.2,1.9,16.6
10,"Jacobs, Josh",LVR,LAC,RB,19.7,82.0,0.7,0.5,0.2,0.0,0.0,0.0,0.0,3.0,0.2,2.4,16.0,0.0,0.1,0.0,0.0,0.0,0.2,1.9,16.4
11,"Ekeler, Austin",LAC,@LVR,RB,11.4,48.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,6.8,0.8,5.2,47.0,0.2,0.2,0.1,0.0,0.0,0.0,1.0,16.3
12,"Chubb, Nick",CLE,@NYG,RB,17.4,92.0,0.5,0.3,0.1,0.1,0.0,0.0,0.0,2.5,0.3,1.8,13.0,0.1,0.1,0.0,0.0,0.0,0.1,1.4,15.6
13,"Thompson, Chris",JAC,@BAL,RB,13.7,62.0,0.3,0.3,0.1,0.0,0.0,0.0,0.0,4.3,0.3,3.4,25.0,0.2,0.1,0.1,0.0,0.0,0.0,1.2,15.3
14,"Carson, Chris",SEA,@WAS,RB,13.3,60.0,0.6,0.5,0.1,0.1,0.0,0.0,0.0,3.2,0.3,2.6,17.0,0.2,0.1,0.0,0.0,0.0,0.1,1.8,15.1
15,"Taylor, Jonathan",IND,HOU,RB,15.2,60.0,0.5,0.4,0.0,0.0,0.0,0.0,0.0,3.7,0.2,3.2,26.0,0.0,0.1,0.1,0.0,0.0,0.1,1.5,14.6
16,"Mixon, Joe",CIN,PIT,RB,16.4,65.0,0.4,0.2,0.1,0.0,0.0,0.0,0.0,3.7,0.5,2.8,20.0,0.2,0.1,0.0,0.0,1.0,0.0,1.8,14.5
17,"Drake, Kenyan",ARI,PHI,RB,15.7,68.0,0.6,0.5,0.0,0.0,0.0,0.0,0.1,3.2,0.3,2.3,16.0,0.0,0.1,0.0,0.0,0.0,0.1,1.9,14.5
18,"Swift, D'Andre",DET,@TEN,RB,11.1,45.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,3.7,0.6,2.9,25.0,0.2,0.1,0.1,0.0,0.0,0.0,1.4,14.1
19,"Conner, James",PIT,@CIN,RB,14.3,62.0,0.5,0.4,0.1,0.0,0.0,0.0,0.0,3.4,0.5,2.9,18.0,0.1,0.1,0.0,0.0,0.0,0.0,1.1,14.0
20,"Sanders, Miles",PHI,@ARI,RB,12.6,67.0,0.3,0.2,0.0,0.0,0.0,0.0,0.1,4.1,0.4,2.6,22.0,0.1,0.1,0.0,0.0,3.0,0.1,1.3,13.7
21,"Gallman, Wayne",NYG,CLE,RB,13.9,48.0,0.8,0.7,0.0,0.0,0.0,0.0,0.0,3.5,0.7,2.5,16.0,0.0,0.1,0.0,0.0,1.0,0.1,1.7,13.6
22,"Gaskin, Myles",MIA,NEP,RB,14.7,52.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,4.6,0.6,3.6,24.0,0.0,0.1,0.1,0.0,0.0,0.1,1.7,13.5
23,"Gordon, Melvin",DEN,BUF,RB,14.8,61.0,0.6,0.4,0.0,0.1,0.0,0.1,0.0,3.1,0.2,2.3,13.0,0.1,0.1,0.0,0.0,0.0,0.3,1.1,13.3
24,"Gurley, Todd",ATL,TBB,RB,14.9,54.0,0.8,0.6,0.1,0.0,0.1,0.0,0.0,2.4,0.3,1.8,10.0,0.1,0.0,0.0,0.0,0.0,0.0,1.7,13.1
25,"Moss, Zack",BUF,@DEN,RB,11.5,53.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,3.0,0.2,2.3,18.0,0.1,0.1,0.0,0.0,0.0,0.0,1.2,12.6
26,"Montgomery, David",CHI,@MIN,RB,14.1,56.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,3.6,0.6,2.7,19.0,0.1,0.1,0.0,0.0,0.0,0.1,1.5,12.3
27,"Hunt, Kareem",CLE,@NYG,RB,11.3,48.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,3.4,0.6,2.5,19.0,0.2,0.1,0.0,0.0,2.0,0.0,1.1,12.3
28,"Davis, Mike",CAR,@GBP,RB,10.3,40.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,4.7,0.7,3.8,24.0,0.1,0.1,0.1,0.0,1.0,0.1,1.2,12.2
29,"Edwards-Helaire, Clyde",KCC,@NOS,RB,10.9,49.0,0.4,0.2,0.2,0.0,0.0,0.0,0.0,3.4,0.5,2.4,18.0,0.1,0.1,0.0,0.0,0.0,0.0,0.9,12.1
30,"Michel, Sony",NEP,@MIA,RB,13.7,66.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,2.3,0.3,1.5,16.0,0.1,0.1,0.0,0.0,1.0,0.0,1.1,12.1
31,"Harris, Damien",NEP,@MIA,RB,12.3,61.0,0.4,0.3,0.0,0.1,0.0,0.0,0.0,2.2,0.3,1.6,14.0,0.1,0.1,0.0,0.0,0.0,0.1,1.4,11.8
32,"Dobbins, J.K.",BAL,JAC,RB,10.3,52.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,2.3,0.1,1.8,14.0,0.1,0.1,0.0,0.0,0.0,0.0,0.5,11.3
33,"Akers, Cam",LAR,NYJ,RB,10.3,49.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,1.6,0.2,1.2,9.0,0.2,0.0,0.0,0.0,0.0,0.0,1.5,11.3
34,"Jones, Ronald",TBB,@ATL,RB,10.4,53.0,0.3,0.2,0.0,0.0,0.0,0.0,0.1,3.1,0.2,2.2,15.0,0.1,0.1,0.0,0.0,0.0,0.2,0.8,10.7
35,"Fournette, Leonard",TBB,@ATL,RB,9.1,38.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,4.2,0.5,3.1,19.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,10.7
36,"Hines, Nyheim",IND,HOU,RB,5.4,18.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,5.3,0.6,3.7,31.0,0.2,0.1,0.1,14.0,8.0,0.0,0.9,10.5
37,"Johnson, Duke",HOU,@IND,RB,9.7,34.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,3.5,0.8,2.7,24.0,0.1,0.1,0.1,0.0,0.0,0.1,0.8,10.5
38,"Ingram, Mark",BAL,JAC,RB,10.6,48.0,0.4,0.4,0.0,0.0,0.1,0.0,0.0,1.4,0.2,1.1,11.0,0.1,0.0,0.0,0.0,0.0,0.1,1.3,10.2
39,"Singletary, Devin",BUF,@DEN,RB,11.4,52.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,4.0,0.3,2.7,20.0,0.0,0.1,0.0,0.0,0.0,0.1,0.5,10.1
40,"Edmonds, Chase",ARI,PHI,RB,6.1,29.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,3.4,0.6,2.9,22.0,0.2,0.1,0.0,0.0,22.0,0.0,0.6,9.7
41,"McKinnon, Jerick",SFO,@DAL,RB,7.8,29.0,0.4,0.2,0.1,0.0,0.0,0.0,0.0,3.4,0.4,2.3,18.0,0.1,0.1,0.0,0.0,12.0,0.0,1.0,9.6
42,"Murray, Latavius",NOS,KCC,RB,10.2,46.0,0.3,0.2,0.0,0.0,0.1,0.0,0.0,1.8,0.3,1.5,12.0,0.0,0.1,0.0,0.0,0.0,0.0,0.8,9.5
43,"Williams, Jamaal",GBP,CAR,RB,7.9,32.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,3.0,0.3,2.4,18.0,0.2,0.1,0.0,0.0,1.0,0.0,0.8,9.2
44,"McKissic, J.D.",WAS,SEA,RB,4.6,22.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,5.4,0.5,3.8,27.0,0.0,0.1,0.1,0.0,0.0,0.1,0.2,9.2
45,"Perine, Lamical",NYJ,@LAR,RB,10.7,38.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,2.6,0.3,2.1,14.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3,8.8
46,"Ballage, Kalen",LAC,@LVR,RB,9.2,34.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,3.1,0.6,2.4,15.0,0.0,0.1,0.0,0.0,0.0,0.1,0.7,8.6
47,"Scott, Boston",PHI,@ARI,RB,6.1,30.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,2.9,0.4,2.4,19.0,0.1,0.1,0.0,1.0,29.0,0.0,0.8,8.5
48,"Peterson, Adrian",DET,@TEN,RB,10.1,39.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,1.7,0.1,1.2,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,8.3
49,"White, James",NEP,@MIA,RB,3.6,14.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,3.6,0.3,2.8,21.0,0.1,0.1,0.0,0.0,1.0,0.1,0.5,8.2
50,"Hyde, Carlos",SEA,@WAS,RB,9.2,36.0,0.3,0.2,0.0,0.1,0.0,0.0,0.0,1.8,0.1,1.4,12.0,0.1,0.1,0.0,0.0,1.0,0.0,0.9,8.1
51,"Lindsay, Phillip",DEN,BUF,RB,11.1,51.0,0.2,0.1,0.0,0.0,0.0,0.0,0.1,1.6,0.2,0.9,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,7.7
52,"Coleman, Tevin",SFO,@DAL,RB,7.9,28.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,1.9,0.4,1.4,14.0,0.0,0.1,0.0,0.0,1.0,0.0,0.8,7.7
53,"Bernard, Giovani",CIN,PIT,RB,5.3,17.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,3.7,0.5,2.8,21.0,0.1,0.1,0.0,0.0,2.0,0.0,0.8,7.7
54,"Henderson, Darrell",LAR,NYJ,RB,8.1,34.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,1.4,0.1,1.1,10.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,7.2
55,"Edwards, Gus",BAL,JAC,RB,9.6,43.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,6.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,7.2
56,"Johnson, Kerryon",DET,@TEN,RB,6.2,23.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,2.3,0.2,1.7,18.0,0.0,0.1,0.0,0.0,1.0,0.1,0.4,7.1
57,"Booker, Devontae",LVR,LAC,RB,5.6,31.0,0.3,0.1,0.0,0.2,0.0,0.0,0.0,1.7,0.2,1.3,9.0,0.0,0.0,0.0,0.0,6.0,0.0,0.4,7.1
58,"Brown, Malcolm",LAR,NYJ,RB,7.2,32.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,1.3,0.1,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,7.0
59,"Gore, Frank",NYJ,@LAR,RB,11.4,42.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,1.6,0.2,1.3,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,6.7
60,"Wilson, Jeff",SFO,@DAL,RB,4.9,20.0,0.4,0.3,0.1,0.0,0.0,0.0,0.0,0.9,0.2,0.6,7.0,0.1,0.0,0.0,0.0,4.0,0.1,0.7,5.9
61,"Samuels, Jaylen",PIT,@CIN,RB,4.9,14.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,2.5,0.3,2.0,11.0,0.0,0.0,0.0,0.0,0.1,0.0,0.6,5.9
62,"Pollard, Tony",DAL,SFO,RB,5.5,28.0,0.2,0.1,0.0,0.0,0.0,0.1,0.0,1.7,0.4,1.2,8.0,0.0,0.0,0.0,0.0,32.0,0.0,0.3,5.8
63,"Wilkins, Jordan",IND,HOU,RB,7.2,31.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.2,0.2,0.9,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.7,5.7
64,"Kelley, Joshua",LAC,@LVR,RB,7.7,25.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.5,0.2,1.4,10.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,5.6
65,"Hill, Brian",ATL,TBB,RB,6.9,29.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.2,1.3,9.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,5.6
